gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4935783798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/423648793/original.jpeg	https://www.inaturalist.org/photos/423648793					2024-08-23T02:16:27Z	Sarah Reid		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah Reid
4935783798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/423648799/original.jpeg	https://www.inaturalist.org/photos/423648799					2024-08-23T02:16:34Z	Sarah Reid		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah Reid
4935783798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/423648815/original.jpeg	https://www.inaturalist.org/photos/423648815					2024-08-23T02:16:38Z	Sarah Reid		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah Reid
4935783798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/423648797/original.jpeg	https://www.inaturalist.org/photos/423648797					2024-08-23T02:16:31Z	Sarah Reid		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah Reid
4935678299	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/425667146/original.jpg	https://www.inaturalist.org/photos/425667146					2007-07-03T19:23:10Z	Tim Messick		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Tim Messick
4926319561	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/418973820/original.jpeg	https://www.inaturalist.org/photos/418973820					2024-08-12T19:33:28Z	Preston Ernest		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Preston Ernest
4926290360	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/401946725/original.jpg	https://www.inaturalist.org/photos/401946725					2024-06-29T17:55:14Z	sophiafricke		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sophiafricke
4926243325	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/419884913/original.jpeg	https://www.inaturalist.org/photos/419884913					2024-08-13T19:02:37Z	Nick Cecchi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nick Cecchi
4926243325	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/419884933/original.jpeg	https://www.inaturalist.org/photos/419884933					2024-08-13T19:02:41Z	Nick Cecchi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nick Cecchi
4926243325	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/419884948/original.jpeg	https://www.inaturalist.org/photos/419884948					2024-08-13T19:02:47Z	Nick Cecchi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nick Cecchi
4926219268	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/421046712/original.jpg	https://www.inaturalist.org/photos/421046712					2024-07-28T22:53:34Z	bangert301		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bangert301
